abs_path,rel_path,filename,parse_ok,error,PatientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,Modality,StudyDate,SeriesDate,SeriesDescription,StudyDescription,ProtocolName,BodyPartExamined,Manufacturer,ManufacturerModelName,Rows,Columns,NumberOfFrames,InstanceNumber,SamplesPerPixel,PhotometricInterpretation,TransferSyntaxUID
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.115374966380603078734437948109/LICENSE,LICENSE,True,,,,,,,,,,,,,,,,,1,,,,
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.146087891599130893551968747818/LICENSE,LICENSE,True,,,,,,,,,,,,,,,,,1,,,,
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.240884965319239940503812066809/LICENSE,LICENSE,True,,,,,,,,,,,,,,,,,1,,,,
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.249116980803463531667895937248/LICENSE,LICENSE,True,,,,,,,,,,,,,,,,,1,,,,
/kaggle/working/liver_digital_twin/data/raw_tcia_download/1.3.6.1.4.1.14519.5.2.1.1188.2803.738581576903765604292010199710/LICENSE,1.3.6.1.4.1.14519.5.2.1.1188.2803.738581576903765604292010199710/LICENSE,LICENSE,True,,,,,,,,,,,,,,,,,1,,,,
